Bundesland;SterbeZeit;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
HB;40;40;2020;0
HB;41;41;2020;<4
HB;42;42;2020;<4
HB;43;43;2020;<4
HB;44;44;2020;11
HB;45;45;2020;14
HB;46;46;2020;6
HB;47;47;2020;16
HB;48;48;2020;15
HB;49;49;2020;14
HB;50;50;2020;19
HB;51;51;2020;16
HB;52;52;2020;15
HB;53;53;2020;24
HB;54;1;2021;16
HB;55;2;2021;8
HB;56;3;2021;16
HB;57;4;2021;19
HH;10;10;2020;0
HH;11;11;2020;0
HH;12;12;2020;<4
HH;13;13;2020;16
HH;14;14;2020;24
HH;15;15;2020;48
HH;16;16;2020;51
HH;17;17;2020;38
HH;18;18;2020;25
HH;19;19;2020;16
HH;20;20;2020;9
HH;21;21;2020;7
HH;22;22;2020;<4
HH;23;23;2020;<4
HH;24;24;2020;<4
HH;25;25;2020;0
HH;26;26;2020;<4
HH;27;27;2020;0
HH;28;28;2020;0
HH;29;29;2020;0
HH;30;30;2020;0
HH;31;31;2020;<4
HH;32;32;2020;0
HH;33;33;2020;0
HH;34;34;2020;<4
HH;35;35;2020;<4
HH;36;36;2020;<4
HH;37;37;2020;<4
HH;38;38;2020;0
HH;39;39;2020;<4
HH;40;40;2020;5
HH;41;41;2020;4
HH;42;42;2020;4
HH;43;43;2020;10
HH;44;44;2020;19
HH;45;45;2020;15
HH;46;46;2020;30
HH;47;47;2020;34
HH;48;48;2020;65
HH;49;49;2020;57
HH;50;50;2020;60
HH;51;51;2020;91
HH;52;52;2020;76
HH;53;53;2020;94
HH;54;1;2021;86
HH;55;2;2021;73
HH;56;3;2021;76
HH;57;4;2021;47
HE;10;10;2020;0
HE;11;11;2020;0
HE;12;12;2020;4
HE;13;13;2020;14
HE;14;14;2020;55
HE;15;15;2020;88
HE;16;16;2020;95
HE;17;17;2020;82
HE;18;18;2020;42
HE;19;19;2020;36
HE;20;20;2020;21
HE;21;21;2020;21
HE;22;22;2020;12
HE;23;23;2020;9
HE;24;24;2020;4
HE;25;25;2020;6
HE;26;26;2020;<4
HE;27;27;2020;<4
HE;28;28;2020;<4
HE;29;29;2020;<4
HE;30;30;2020;<4
HE;31;31;2020;4
HE;32;32;2020;<4
HE;33;33;2020;<4
HE;34;34;2020;<4
HE;35;35;2020;5
HE;36;36;2020;0
HE;37;37;2020;4
HE;38;38;2020;5
HE;39;39;2020;7
HE;40;40;2020;<4
HE;41;41;2020;11
HE;42;42;2020;20
HE;43;43;2020;52
HE;44;44;2020;66
HE;45;45;2020;120
HE;46;46;2020;152
HE;47;47;2020;187
HE;48;48;2020;235
HE;49;49;2020;303
HE;50;50;2020;365
HE;51;51;2020;451
HE;52;52;2020;495
HE;53;53;2020;495
HE;54;1;2021;484
HE;55;2;2021;405
HE;56;3;2021;336
HE;57;4;2021;321
MV;10;10;2020;0
MV;11;11;2020;0
MV;12;12;2020;0
MV;13;13;2020;<4
MV;14;14;2020;6
MV;15;15;2020;<4
MV;16;16;2020;4
MV;17;17;2020;<4
MV;18;18;2020;<4
MV;19;19;2020;<4
MV;20;20;2020;0
MV;21;21;2020;0
MV;22;22;2020;0
MV;23;23;2020;0
MV;24;24;2020;0
MV;25;25;2020;0
MV;26;26;2020;0
MV;27;27;2020;0
MV;28;28;2020;0
MV;29;29;2020;0
MV;30;30;2020;0
MV;31;31;2020;0
MV;32;32;2020;0
MV;33;33;2020;0
MV;34;34;2020;0
MV;35;35;2020;0
MV;36;36;2020;0
MV;37;37;2020;0
MV;38;38;2020;0
MV;39;39;2020;0
MV;40;40;2020;0
MV;41;41;2020;0
MV;42;42;2020;<4
MV;43;43;2020;<4
MV;44;44;2020;<4
MV;45;45;2020;6
MV;46;46;2020;9
MV;47;47;2020;16
MV;48;48;2020;12
MV;49;49;2020;15
MV;50;50;2020;22
MV;51;51;2020;22
MV;52;52;2020;40
MV;53;53;2020;41
MV;54;1;2021;64
MV;55;2;2021;67
MV;56;3;2021;94
MV;57;4;2021;94
NI;10;10;2020;0
NI;11;11;2020;0
NI;12;12;2020;7
NI;13;13;2020;30
NI;14;14;2020;97
NI;15;15;2020;136
NI;16;16;2020;92
NI;17;17;2020;82
NI;18;18;2020;61
NI;19;19;2020;35
NI;20;20;2020;31
NI;21;21;2020;30
NI;22;22;2020;12
NI;23;23;2020;6
NI;24;24;2020;7
NI;25;25;2020;6
NI;26;26;2020;6
NI;27;27;2020;9
NI;28;28;2020;<4
NI;29;29;2020;<4
NI;30;30;2020;<4
NI;31;31;2020;<4
NI;32;32;2020;<4
NI;33;33;2020;<4
NI;34;34;2020;7
NI;35;35;2020;<4
NI;36;36;2020;0
NI;37;37;2020;<4
NI;38;38;2020;7
NI;39;39;2020;5
NI;40;40;2020;12
NI;41;41;2020;11
NI;42;42;2020;18
NI;43;43;2020;31
NI;44;44;2020;51
NI;45;45;2020;88
NI;46;46;2020;95
NI;47;47;2020;136
NI;48;48;2020;163
NI;49;49;2020;140
NI;50;50;2020;194
NI;51;51;2020;216
NI;52;52;2020;271
NI;53;53;2020;262
NI;54;1;2021;266
NI;55;2;2021;296
NI;56;3;2021;314
NI;57;4;2021;266
NW;10;10;2020;0
NW;11;11;2020;8
NW;12;12;2020;48
NW;13;13;2020;100
NW;14;14;2020;267
NW;15;15;2020;322
NW;16;16;2020;301
NW;17;17;2020;218
NW;18;18;2020;144
NW;19;19;2020;99
NW;20;20;2020;62
NW;21;21;2020;42
NW;22;22;2020;22
NW;23;23;2020;30
NW;24;24;2020;16
NW;25;25;2020;9
NW;26;26;2020;23
NW;27;27;2020;16
NW;28;28;2020;7
NW;29;29;2020;11
NW;30;30;2020;13
NW;31;31;2020;9
NW;32;32;2020;17
NW;33;33;2020;19
NW;34;34;2020;17
NW;35;35;2020;16
NW;36;36;2020;11
NW;37;37;2020;9
NW;38;38;2020;17
NW;39;39;2020;20
NW;40;40;2020;18
NW;41;41;2020;37
NW;42;42;2020;56
NW;43;43;2020;102
NW;44;44;2020;205
NW;45;45;2020;271
NW;46;46;2020;353
NW;47;47;2020;420
NW;48;48;2020;566
NW;49;49;2020;597
NW;50;50;2020;718
NW;51;51;2020;903
NW;52;52;2020;1039
NW;53;53;2020;1057
NW;54;1;2021;869
NW;55;2;2021;861
NW;56;3;2021;751
NW;57;4;2021;685
RP;10;10;2020;0
RP;11;11;2020;0
RP;12;12;2020;5
RP;13;13;2020;18
RP;14;14;2020;24
RP;15;15;2020;38
RP;16;16;2020;41
RP;17;17;2020;40
RP;18;18;2020;22
RP;19;19;2020;19
RP;20;20;2020;18
RP;21;21;2020;7
RP;22;22;2020;0
RP;23;23;2020;<4
RP;24;24;2020;<4
RP;25;25;2020;0
RP;26;26;2020;<4
RP;27;27;2020;0
RP;28;28;2020;<4
RP;29;29;2020;<4
RP;30;30;2020;0
RP;31;31;2020;<4
RP;32;32;2020;<4
RP;33;33;2020;<4
RP;34;34;2020;<4
RP;35;35;2020;0
RP;36;36;2020;<4
RP;37;37;2020;<4
RP;38;38;2020;0
RP;39;39;2020;6
RP;40;40;2020;<4
RP;41;41;2020;5
RP;42;42;2020;7
RP;43;43;2020;7
RP;44;44;2020;33
RP;45;45;2020;43
RP;46;46;2020;65
RP;47;47;2020;93
RP;48;48;2020;146
RP;49;49;2020;187
RP;50;50;2020;229
RP;51;51;2020;223
RP;52;52;2020;244
RP;53;53;2020;228
RP;54;1;2021;227
RP;55;2;2021;185
RP;56;3;2021;233
RP;57;4;2021;191
SL;10;10;2020;0
SL;11;11;2020;0
SL;12;12;2020;<4
SL;13;13;2020;7
SL;14;14;2020;22
SL;15;15;2020;37
SL;16;16;2020;39
SL;17;17;2020;19
SL;18;18;2020;14
SL;19;19;2020;9
SL;20;20;2020;8
SL;21;21;2020;5
SL;22;22;2020;<4
SL;23;23;2020;<4
SL;24;24;2020;<4
SL;25;25;2020;<4
SL;26;26;2020;<4
SL;27;27;2020;<4
SL;28;28;2020;0
SL;29;29;2020;0
SL;30;30;2020;0
SL;31;31;2020;0
SL;32;32;2020;0
SL;33;33;2020;0
SL;34;34;2020;0
SL;35;35;2020;<4
SL;36;36;2020;0
SL;37;37;2020;0
SL;38;38;2020;<4
SL;39;39;2020;<4
SL;40;40;2020;0
SL;41;41;2020;0
SL;42;42;2020;<4
SL;43;43;2020;5
SL;44;44;2020;16
SL;45;45;2020;19
SL;46;46;2020;22
SL;47;47;2020;28
SL;48;48;2020;16
SL;49;49;2020;35
SL;50;50;2020;43
SL;51;51;2020;52
SL;52;52;2020;52
SL;53;53;2020;60
SL;54;1;2021;69
SL;55;2;2021;57
SL;56;3;2021;52
SL;57;4;2021;41
SN;10;10;2020;0
SN;11;11;2020;0
SN;12;12;2020;<4
SN;13;13;2020;12
SN;14;14;2020;38
SN;15;15;2020;36
SN;16;16;2020;43
SN;17;17;2020;28
SN;18;18;2020;24
SN;19;19;2020;13
SN;20;20;2020;8
SN;21;21;2020;9
SN;22;22;2020;4
SN;23;23;2020;5
SN;24;24;2020;<4
SN;25;25;2020;0
SN;26;26;2020;<4
SN;27;27;2020;<4
SN;28;28;2020;<4
SN;29;29;2020;0
SN;30;30;2020;0
SN;31;31;2020;0
SN;32;32;2020;0
SN;33;33;2020;0
SN;34;34;2020;0
SN;35;35;2020;0
SN;36;36;2020;0
SN;37;37;2020;<4
SN;38;38;2020;<4
SN;39;39;2020;6
SN;40;40;2020;9
SN;41;41;2020;9
SN;42;42;2020;27
SN;43;43;2020;48
SN;44;44;2020;98
SN;45;45;2020;142
SN;46;46;2020;218
SN;47;47;2020;266
SN;48;48;2020;418
SN;49;49;2020;437
SN;50;50;2020;615
SN;51;51;2020;811
SN;52;52;2020;836
SN;53;53;2020;734
SN;54;1;2021;683
SN;55;2;2021;513
SN;56;3;2021;451
SN;57;4;2021;384
ST;10;10;2020;0
ST;11;11;2020;0
ST;12;12;2020;<4
ST;13;13;2020;7
ST;14;14;2020;5
ST;15;15;2020;12
ST;16;16;2020;9
ST;17;17;2020;6
ST;18;18;2020;9
ST;19;19;2020;6
ST;20;20;2020;<4
ST;21;21;2020;<4
ST;22;22;2020;<4
ST;23;23;2020;<4
ST;24;24;2020;<4
ST;25;25;2020;<4
ST;26;26;2020;<4
ST;27;27;2020;0
ST;28;28;2020;0
ST;29;29;2020;0
ST;30;30;2020;<4
ST;31;31;2020;0
ST;32;32;2020;0
ST;33;33;2020;0
ST;34;34;2020;<4
ST;35;35;2020;0
ST;36;36;2020;<4
ST;37;37;2020;0
ST;38;38;2020;<4
ST;39;39;2020;<4
ST;40;40;2020;0
ST;41;41;2020;<4
ST;42;42;2020;<4
ST;43;43;2020;5
ST;44;44;2020;14
ST;45;45;2020;11
ST;46;46;2020;20
ST;47;47;2020;30
ST;48;48;2020;54
ST;49;49;2020;61
ST;50;50;2020;114
ST;51;51;2020;140
ST;52;52;2020;215
ST;53;53;2020;243
ST;54;1;2021;210
ST;55;2;2021;259
ST;56;3;2021;261
ST;57;4;2021;210
SH;10;10;2020;<4
SH;11;11;2020;0
SH;12;12;2020;<4
SH;13;13;2020;7
SH;14;14;2020;20
SH;15;15;2020;24
SH;16;16;2020;27
SH;17;17;2020;23
SH;18;18;2020;20
SH;19;19;2020;6
SH;20;20;2020;7
SH;21;21;2020;5
SH;22;22;2020;5
SH;23;23;2020;<4
SH;24;24;2020;4
SH;25;25;2020;0
SH;26;26;2020;0
SH;27;27;2020;0
SH;28;28;2020;<4
SH;29;29;2020;<4
SH;30;30;2020;0
SH;31;31;2020;<4
SH;32;32;2020;0
SH;33;33;2020;0
SH;34;34;2020;<4
SH;35;35;2020;0
SH;36;36;2020;0
SH;37;37;2020;0
SH;38;38;2020;0
SH;39;39;2020;0
SH;40;40;2020;<4
SH;41;41;2020;0
SH;42;42;2020;<4
SH;43;43;2020;5
SH;44;44;2020;16
SH;45;45;2020;30
SH;46;46;2020;18
SH;47;47;2020;13
SH;48;48;2020;14
SH;49;49;2020;18
SH;50;50;2020;36
SH;51;51;2020;50
SH;52;52;2020;84
SH;53;53;2020;98
SH;54;1;2021;106
SH;55;2;2021;100
SH;56;3;2021;111
SH;57;4;2021;128
TH;10;10;2020;0
TH;11;11;2020;0
TH;12;12;2020;<4
TH;13;13;2020;<4
TH;14;14;2020;11
TH;15;15;2020;21
TH;16;16;2020;27
TH;17;17;2020;26
TH;18;18;2020;22
TH;19;19;2020;20
TH;20;20;2020;20
TH;21;21;2020;11
TH;22;22;2020;11
TH;23;23;2020;5
TH;24;24;2020;6
TH;25;25;2020;5
TH;26;26;2020;0
TH;27;27;2020;<4
TH;28;28;2020;<4
TH;29;29;2020;<4
TH;30;30;2020;0
TH;31;31;2020;<4
TH;32;32;2020;<4
TH;33;33;2020;0
TH;34;34;2020;0
TH;35;35;2020;0
TH;36;36;2020;0
TH;37;37;2020;<4
TH;38;38;2020;<4
TH;39;39;2020;0
TH;40;40;2020;<4
TH;41;41;2020;<4
TH;42;42;2020;4
TH;43;43;2020;<4
TH;44;44;2020;15
TH;45;45;2020;27
TH;46;46;2020;41
TH;47;47;2020;70
TH;48;48;2020;81
TH;49;49;2020;140
TH;50;50;2020;163
TH;51;51;2020;201
TH;52;52;2020;261
TH;53;53;2020;290
TH;54;1;2021;296
TH;55;2;2021;248
TH;56;3;2021;213
TH;57;4;2021;173
